Hall;geometry;probability

"1";POLYGON ((941 743, 1087 743, 1087 852, 940 852, 941 743));1

"2";POLYGON ((1088 743,1086 851,1245 851,1246 742, 1088 743));1

"3";POLYGON ((1246 744,1247 862,1363 862,1364 743, 1246 744));1

"4";POLYGON ((1167 590,1166 743,1394 743,1394 590, 1167 590));1

"5";POLYGON ((941 589,941 743,1166 744,1165 589, 941 589));1

"6";POLYGON ((942 486,941 589,1087 590,1086 484, 942 486));1

"7";POLYGON ((1086 485,1087 590,1246 590,1246 485, 1086 485));1

"8";POLYGON ((1247 472,1246 589,1363 590,1362 470, 1247 472));1

"9";POLYGON ((1142 373,1055 397,1059 411,1062 424,1064 436,1064 447,1064 461,1065 471,1063 479,1063 485,1082 485,1156 485,1156 474,1157 466,1157 456,1156 444,1155 432,1154 418,1150 401,1146 390,1144 378,1142 373, 1142 373));1

"10";POLYGON ((1087 266,1098 276,1110 297,1117 312,1129 331,1135 351,1142 373,1056 398,1045 366,1033 346,1025 334,1016 321,1087 266, 1087 266));1

"11";POLYGON ((997 185,1011 194,1030 208,1048 225,1064 239,1076 252,1087 264,1015 318,1002 306,992 296,982 287,965 273,950 264,995 185, 997 185));1

"12";POLYGON ((879 144,897 147,921 153,945 161,967 170,986 178,995 185,948 262,933 256,917 249,902 243,885 241,873 238,863 235,877 146, 879 144));1

"13";POLYGON ((1245 269,1361 270,1363 472,1246 472, 1245 269));1

"14";POLYGON ((1363 270,1361 589,1424 590,1465 586,1496 572,1529 551,1554 525,1575 489,1586 442,1583 408,1575 373,1557 342,1537 317,1510 296,1478 279,1442 270,1423 269,1363 269, 1363 270));1

"15";POLYGON ((1393 185,1395 269,1434 269,1462 274,1497 287,1524 306,1550 329,1571 367,1582 403,1584 433,1582 461,1570 495,1545 536,1516 561,1479 579,1443 589,1422 590,1395 591,1394 674,1445 676,1501 664,1529 652,1560 635,1592 609,1622 576,1642 547,1657 508,1666 474,1669 429,1665 380,1655 343,1637 307,1619 279,1593 249,1557 223,1525 206,1491 194,1450 185,1395 184, 1393 185));1

"16";POLYGON ((1245 120,1393 120,1394 269,1245 271, 1245 120));1

"17";POLYGON ((1245 121,1092 120,1092 166,1192 270,1247 271, 1245 121));1

"18";POLYGON ((1246 122,1246 4,1362 4,1363 118, 1246 122));1

"19";POLYGON ((1246 11,1245 121,896 120,885 96,885 71,880 70,879 28,880 11,1245 9, 1246 11));1

"A";POLYGON ((731 852,587 852,586 743,732 743, 731 852));1

"B";POLYGON ((586 742,586 852,427 851,426 743, 586 742));1

"C";POLYGON ((426 743,426 862,311 862,309 743, 426 743));1

"D";POLYGON ((279 744,278 591,507 590,507 744, 279 744));1

"E";POLYGON ((507 588,731 590,732 742,507 743, 507 588));1

"F";POLYGON ((586 590,587 486,731 486,732 588, 586 590));1

"G";POLYGON ((425 487,588 484,587 589,426 589, 425 487));1

"H";POLYGON ((311 473,425 473,426 590,309 590, 311 473));1

"I";POLYGON ((515 484,609 486,606 471,608 455,608 439,611 418,617 399,529 373,524 387,519 409,517 426,515 451,515 486, 515 484));1

"J";POLYGON ((528 372,616 398,623 378,632 359,640 344,649 329,656 318,634 302,616 288,601 277,585 267,572 280,554 309,542 334,532 360,528 373, 528 372));1

"K";POLYGON ((677 185,655 199,634 215,620 227,607 239,598 249,588 259,585 264,657 318,671 304,684 291,698 281,711 270,720 264, 677 185));1

"L";POLYGON ((796 144,775 147,745 156,717 166,699 174,678 185,724 262,740 254,764 244,791 238,808 235, 796 144));1 

"M";POLYGON ((311 271,425 270,426 472,310 472, 311 271));1

"N";POLYGON ((311 270,311 589,248 590,209 585,179 573,153 558,125 531,108 507,94 470,88 434,92 399,101 367,119 336,146 308,170 290,199 277,237 271,278 270,310 271,309 589, 311 270));1

"O";POLYGON ((278 270,278 185,255 184,218 185,191 191,162 199,132 215,108 226,81 249,57 275,40 298,24 329,11 361,4 398,4 438,6 473,13 499,25 533,41 560,61 589,79 608,104 629,134 648,163 659,202 670,230 676,257 676,277 675,279 592,249 590,220 586,191 578,161 564,134 541,112 510,99 483,90 452,90 416,94 395,103 361,123 331,152 301,172 289,197 279,221 271,247 270,280 271,277 183, 278 270));1

"P";POLYGON ((280 120,425 120,426 270,280 270, 280 120));1

"Q";POLYGON ((427 119,426 271,476 270,579 163,579 120,426 119, 427 119));1

"R";POLYGON ((426 120,426 3,311 4,311 119, 426 120));1

"S";POLYGON ((427 11,426 121,774 121,784 100,784 72,789 72,790 27,791 13,427 12, 427 11));1

"i";POLYGON ((730 824,940 825,940 999,731 1000, 730 824));1

"ii";POLYGON ((732 512,940 511,941 825,732 824, 732 512));1

"iii";POLYGON ((609 486,731 490,731 511,941 511,941 487,1064 487,1066 467,1063 431,1057 405,1047 377,1026 336,991 294,959 269,919 249,867 236,836 234,800 235,743 253,706 273,675 300,650 328,632 356,619 394,611 423,608 441,609 457,608 475,609 488,731 487,730 513, 609 486));1

